bhid,from,to,lith,weath
L9-N13,0,0.8,TQ1a,FRESH
L9-N13,0.8,5.25,,FRESH
L9-N13,5.25,30,TQ1,FRESH
L9-N13,30,34,,FRESH
L9-N13,34,37.55,TQ2,FRESH
L9-N14,0,0.15,,FRESH
L9-N14,0.15,2.8,TQ1a,FRESH
L9-N14,2.8,6.25,,FRESH
L9-N14,6.25,8.85,TQ1a,FRESH
L9-N15,0,1.5,TQ1a,FRESH
L9-N15,1.5,7.55,,FRESH
L9-N15,7.55,14.1,TQ1,FRESH
L9-N15,14.1,14.65,,FRESH
L9-N15,14.65,24.4,TQ1,FRESH
L9-N15,24.4,29.45,,FRESH
L9-N15,29.45,35.35,TQ2,FRESH
L9-N16,0,0.3,TQ1a,FRESH
L9-N16,0.3,4.9,,FRESH
L9-N16,4.9,12.55,TQ1a,FRESH
L9-N16,12.55,15.1,,FRESH
L9-N16,15.1,16.7,TQ1a,FRESH
L9-N17,0,0.2,,FRESH
L9-N17,0.2,2,TQ1a,FRESH
L9-N17,2,4.9,,FRESH
L9-N17,4.9,19.2,TQ1,FRESH
L9-N17,19.2,21.4,,FRESH
L9-N17,21.4,22.4,TQ1,FRESH
L9-N17,22.4,26,,FRESH
L9-N17,26,32.5,TQ2,FRESH
L9-N18,0,7.15,TQ1a,FRESH
L9-N18,7.15,11.35,,FRESH
L9-N18,11.35,13,TQ1a,FRESH
L9-N19,0,12.5,,FRESH
L9-N19,12.5,18.1,TQ1,FRESH
L9-N19,18.1,19,,FRESH
L9-N19,19,21.5,TQ1,FRESH
L9-N1a,0,0.1,,OXIDE
L9-N1a,0.1,22.2,TQ1a,OXIDE
L9-N1a,22.2,24.7,,OXIDE
L9-N1a,24.7,25.2,TQ1a,OXIDE
L9-N2,0,11.3,TQ1,FRESH
L9-N2,11.3,13.6,,FRESH
L9-N2,13.6,14.6,TQ1,FRESH
L9-N2,14.6,25.35,,FRESH
L9-N2,25.35,28.65,TQ2,FRESH
L9-N20,0,9.3,,FRESH
L9-N20,9.3,10.4,TQ1a,FRESH
L9-N20,10.4,14,,FRESH
L9-N20,14,21.3,TQ1a,FRESH
L9-N2a,0,0.1,,OXIDE
L9-N2a,0.1,15.05,TQ1,OXIDE
L9-N2a,15.05,15.25,,OXIDE
L9-N2a,15.25,16.95,TQ1,OXIDE
L9-N3,0,9.05,TQ1,FRESH
L9-N4,0,13.45,,FRESH
L9-N4,13.45,16.65,TQ1a,FRESH
L9-N4,16.65,18.8,,FRESH
L9-N4,18.8,19.6,TQ1a,FRESH
L9-N4,19.6,21,,FRESH
L9-N4,21,31,TQ1a,FRESH
L9-N5,0,8.55,,FRESH
L9-N5,8.55,23.45,TQ1,FRESH
L9-N7,0,14.25,,FRESH
L9-N7,14.25,31.35,TQ1,FRESH
L9-N7,31.35,34.9,,FRESH
L9-N7,34.9,37.9,TQ2,FRESH
L9-N8,0,78.2,,FRESH
L9-N8,78.2,92,TQ7,FRESH
L9-N8,92,103.8,,FRESH
L9-N8,103.8,106,TQ8,FRESH
L9-N8,106,126.25,,FRESH
L9-N8,126.25,137.1,TQ9,FRESH
L9-N9,0,16.2,TQ1,FRESH
L9-N9,16.2,19.3,,FRESH
L9-N9,19.3,26.5,TQ1,FRESH
LK010,0,26.653,,OXIDE
LK010,26.653,60.6,,FRESH
LK010,60.6,65.5,TQ2,FRESH
LK010,65.5,68.9,,FRESH
LK010,68.9,76.6,TQ1,FRESH
LK010,76.6,87.4,,FRESH
LK010,87.4,104.3,TQ1,FRESH
LK010,104.3,109.8,,FRESH
LK010,109.8,115.1,TQ1,FRESH
LK010,115.1,120.2,,FRESH
LK010,120.2,180.3,TQ1a,FRESH
LK010,180.3,182.8,,FRESH
LK011,0,34.466,,OXIDE
LK011,34.466,53,,FRESH
LK011,53,57.9,TQ2,FRESH
LK011,57.9,87.4,,FRESH
LK011,87.4,114.3,TQ1,FRESH
LK011,114.3,127.8,,FRESH
LK012,0,24.197,,OXIDE
LK012,24.197,203.9,,FRESH
LK013,0,31.126,,OXIDE
LK013,31.126,190.4,,FRESH
LK013,190.4,194.9,TQ7,FRESH
LK013,194.9,223.4,,FRESH
LK040,0,29.879,,OXIDE
LK040,29.879,215.4,,FRESH
LK040,215.4,222.3,TQ1a,FRESH
LK040,222.3,229.4,,FRESH
LK040,229.4,246.3,TQ1a,FRESH
LK040,246.3,257.399,,FRESH
LK040,257.399,269.9,TQ3,FRESH
LK040,269.9,271.1,,FRESH
LK042,0,29.534,,OXIDE
LK042,29.534,101.4,,FRESH
LK042,101.4,107.3,TQ2,FRESH
LK042,107.3,114.3,,FRESH
LK042,114.3,129.5,TQ1,FRESH
LK042,129.5,160.4,,FRESH
LK042,160.4,169.6,TQ1a,FRESH
LK042,169.6,169.8,,FRESH
LK042,169.8,171.3,TQ1a,FRESH
LK042,171.3,171.5,,FRESH
LK042,171.5,185.2,TQ1a,FRESH
LK042,185.2,194.9,,FRESH
LK042,194.9,214.6,TQ3,FRESH
LK042,214.6,216.5,,FRESH
LK043,0,41.967,,OXIDE
LK043,41.967,265.7,,FRESH
LK044,0,35.553,,OXIDE
LK044,35.553,100.7,,FRESH
LK044,100.7,106.7,TQ2,FRESH
LK044,106.7,289.3,,FRESH
LK044,289.3,291.5,TQ3,FRESH
LK044,291.5,296.6,,FRESH
LK044,296.6,350.5,TQ3,FRESH
LK044,350.5,359.3,,FRESH
LK044,359.3,372,TQ3,FRESH
LK044,372,376.5,,FRESH
LK045e,0,18.475,,OXIDE
LK045e,18.475,228.7,,FRESH
LK047,0,26.965,,OXIDE
LK047,26.965,258.7,,FRESH
LK047,258.7,297,TQ3,FRESH
LK047,297,301.2,,FRESH
LK047,301.2,350.8,TQ3,FRESH
LK047,350.8,351.4,,FRESH
LK048,0,27.902,,OXIDE
LK048,27.902,83.3,,FRESH
LK048,83.3,85.6,TQ1,FRESH
LK048,85.6,86.6,,FRESH
LK048,86.6,90.8,TQ1,FRESH
LK048,90.8,102.5,,FRESH
LK048,102.5,111.6,TQ1a,FRESH
LK048,111.6,118.5,,FRESH
LK048,118.5,133.6,TQ1a,FRESH
LK048,133.6,178.8,,FRESH
LK048,178.8,182.6,TQ3,FRESH
LK048,182.6,207.6,,FRESH
LK048,207.6,209.3,TQ3,FRESH
LK048,209.3,216.3,,FRESH
LK048,216.3,227.4,TQ3,FRESH
LK048,227.4,230.5,,FRESH
LK048,230.5,234.3,TQ3,FRESH
LK048,234.3,241.5,,FRESH
LK060,0,31.553,,OXIDE
LK060,31.553,94.7,,FRESH
LK060,94.7,96.1,TQ2,FRESH
LK060,96.1,100.5,,FRESH
LK060,100.5,148.3,TQ1,FRESH
LK060,148.3,156.6,,FRESH
LK060,156.6,167.1,TQ1a,FRESH
LK060,167.1,168.7,,FRESH
LK060,168.7,180.1,TQ1a,FRESH
LK060,180.1,184.4,,FRESH
LK060,184.4,186.6,TQ1a,FRESH
LK060,186.6,238.4,,FRESH
LK060,238.4,243,TQ3,FRESH
LK060,243,247.2,,FRESH
LK060,247.2,263.3,TQ3,FRESH
LK060,263.3,269,,FRESH
LK060,269,303.4,TQ3,FRESH
LK060,303.4,311.4,,FRESH
LK060,311.4,328.9,TQ3,FRESH
LK060,328.9,386.1,,FRESH
LK060,386.1,396.1,TQ7,FRESH
LK060,396.1,399.1,,FRESH
LK071,0,31.664,,OXIDE
LK071,31.664,78.3,,FRESH
LK071,78.3,94.2,TQ2,FRESH
LK071,94.2,146.4,,FRESH
LK071,146.4,170.2,TQ1a,FRESH
LK071,170.2,173.2,,FRESH
LK071,173.2,208.2,TQ1a,FRESH
LK071,208.2,234.6,,FRESH
LK071,234.6,236.8,TQ3,FRESH
LK083,0,56.099,,OXIDE
LK083,56.099,163.2,,FRESH
LK086,0,26.244,,OXIDE
LK086,26.244,28.2,,FRESH
LK086,28.2,32.9,TQ9,FRESH
LK086,32.9,119.4,,FRESH
LK086,119.4,122.5,TQ11,FRESH
LK086,122.5,127.3,,FRESH
LK086,127.3,129.9,TQ11,FRESH
LK086,129.9,152,,FRESH
LK088,0,13.8,,OXIDE
LK088,13.8,30.6,TQ8,OXIDE
LK088,30.6,30.86,,OXIDE
LK088,30.86,85.9,,FRESH
LK088,85.9,98.7,TQ9,FRESH
LK088,98.7,217.3,,FRESH
LK088,217.3,224.1,TQ12,FRESH
LK088,224.1,229.1,,FRESH
LK088,229.1,232.6,TQ12,FRESH
LK088,232.6,233.8,,FRESH
LK090,0,27.882,,OXIDE
LK090,27.882,303.1,,FRESH
LK090,303.1,306.8,TQ3,FRESH
LK090,306.8,325,,FRESH
LK090,325,327.4,TQ7,FRESH
