bhid,dip,azim,depth
LK011,-60.000,152.000,110.000
LK011,-83.250,157.000,114.000
LK011,-58.833,150.000,120.000
LK011,-83.750,158.000,124.000
LK011,-58.000,150.000,130.000
LK011,-82.000,155.000,136.000
LK011,-58.000,150.000,138.000
LK011,-82.000,155.000,146.000
LK011,-81.000,155.000,156.000
LK011,-80.833,157.000,166.000
LK011,-80.667,153.000,176.000
LK011,-80.333,155.000,186.000
LK011,-80.000,158.000,196.000
LK011,-80.750,155.000,206.000
LK011,-80.833,158.000,216.000
LK011,-81.833,158.000,226.000
LK011,-81.750,165.000,236.000
LK011,-81.750,165.000,242.000
LK011,-80.000,165.000,249.000
LK011,-79.000,165.000,276.000
LK011,-78.000,165.000,304.000
LK011,-74.000,165.000,324.000
LK012,-75.000,164.000,0.000
LK012,-75.000,164.000,1.000
LK012,-70.000,164.000,25.000
LK012,-72.000,164.000,50.000
LK012,-71.000,164.000,75.000
LK012,-72.000,164.000,95.000
LK012,-66.000,164.000,123.000
LK012,-60.000,164.000,151.000
LK013,-75.000,170.000,0.000
LK013,-75.000,170.000,1.000
LK013,-72.000,170.000,50.000
LK013,-71.000,170.000,75.000
LK013,-67.000,170.000,100.000
LK013,-65.000,170.000,128.000
LK013,-60.000,170.000,150.000
LK013,-58.000,170.000,175.000
LK013,-56.000,170.000,195.000
LK013,-52.000,170.000,260.000
LK040,-78.000,137.000,0.000
LK040,-78.000,137.000,1.000
LK040,-78.000,137.000,14.000
LK040,-78.000,155.000,24.000
LK040,-76.000,160.000,34.000
LK040,-76.000,162.000,44.000
LK040,-75.500,160.000,54.000
LK040,-75.000,163.000,64.000
LK040,-74.000,165.000,74.000
LK040,-73.167,165.000,84.000
LK040,-72.833,162.000,94.000
LK040,-72.000,161.000,104.000
LK040,-71.833,160.000,114.000
LK040,-70.833,162.000,124.000
LK040,-70.250,162.000,134.000
LK040,-70.000,162.000,144.000
LK040,-68.750,160.000,154.000
LK040,-67.750,160.000,164.000
LK040,-67.250,163.000,174.000
LK040,-65.000,165.000,184.000
LK040,-63.333,166.000,194.000
LK040,-61.000,167.000,204.000
LK040,-58.500,161.000,214.000
LK040,-52.000,170.000,224.000
LK040,-52.333,170.000,234.000
LK040,-49.500,176.000,244.000
LK040,-43.000,180.000,254.000
LK040,-40.000,185.000,258.000
LK042,-73.667,150.000,0.000
LK042,-73.667,150.000,2.000
LK042,-73.500,127.000,10.000
LK042,-73.000,127.000,20.000
LK042,-72.750,127.000,30.000
LK042,-72.750,127.000,40.000
LK042,-72.250,145.000,50.000
LK042,-71.600,146.000,60.000
LK042,-70.750,145.000,70.000
LK042,-68.833,144.000,80.000
LK042,-67.500,142.000,90.000
LK042,-67.500,142.000,100.000
LK042,-66.500,146.000,110.000
LK042,-64.250,148.000,120.000
LK042,-62.250,150.000,130.000
LK042,-60.750,154.000,140.000
