bhid,dip,azim,depth
LK146,-52.500,188.000,480.000
LK146,-52.000,190.000,490.000
LK146,-50.500,195.000,500.000
LK146,-49.000,194.000,510.000
LK146,-47.000,234.000,520.000
LK146,-42.500,222.000,530.000
LK146,-40.000,199.000,540.000
LK146,-40.000,200.000,550.000
LK146,-40.000,198.000,560.000
LK146,-40.000,185.000,570.000
LK146,-40.000,188.000,580.000
LK146,-40.000,188.000,590.000
LK146,-40.000,185.000,600.000
LK147,-77.000,150.000,0.000
LK147,-77.000,150.000,1.000
LK147,-75.917,145.000,10.000
LK147,-75.250,145.000,20.000
LK147,-74.583,147.000,30.000
LK147,-74.250,149.000,40.000
LK147,-74.000,150.000,50.000
LK147,-72.667,152.000,60.000
LK147,-72.083,151.000,70.000
LK147,-71.000,155.000,80.000
LK147,-70.667,158.000,90.000
LK147,-69.833,160.000,100.000
LK147,-68.833,164.000,110.000
LK147,-68.333,163.000,120.000
LK147,-67.333,163.000,130.000
LK147,-66.833,164.000,140.000
LK147,-66.000,164.000,150.000
LK147,-64.833,170.000,160.000
LK147,-64.000,170.000,170.000
LK147,-63.000,171.000,180.000
LK147,-62.000,171.000,190.000
LK147,-62.333,171.000,200.000
LK147,-62.000,172.000,210.000
LK147,-62.000,173.000,220.000
LK147,-60.500,174.000,230.000
LK147,-60.000,174.000,240.000
LK147,-59.000,175.000,252.000
LK151,-74.500,132.000,0.000
LK151,-74.500,132.000,2.000
LK151,-74.500,132.000,10.000
LK151,-74.333,132.000,20.000
LK151,-74.333,132.000,30.000
LK151,-73.667,128.000,40.000
LK151,-72.833,125.000,50.000
LK151,-71.833,127.000,60.000
LK151,-70.833,126.000,70.000
LK151,-70.333,129.000,80.000
LK151,-69.667,129.000,90.000
LK151,-68.167,131.000,100.000
LK151,-65.833,135.000,110.000
LK151,-63.500,136.000,120.000
LK151,-61.167,139.000,130.000
LK151,-58.833,141.000,140.000
LK151,-56.000,141.000,150.000
LK151,-54.667,145.000,160.000
LK151,-52.000,145.000,170.000
LK151,-50.333,145.000,180.000
LK151,-45.333,135.000,190.000
LK151,-42.000,135.000,200.000
LK151,-42.000,134.000,210.000
LK151,-41.833,140.000,220.000
LK151,-41.667,143.000,230.000
LK151,-41.667,143.000,240.000
LK151,-41.667,136.000,250.000
LK152,-78.000,140.000,0.000
LK152,-78.000,140.000,1.000
LK152,-77.333,140.000,10.000
LK152,-74.667,140.000,20.000
LK152,-75.167,142.000,30.000
LK152,-73.333,141.000,40.000
LK152,-71.750,142.000,50.000
LK152,-70.500,144.000,60.000
LK152,-69.083,147.000,70.000
LK152,-67.000,149.000,80.000
LK152,-64.000,150.000,90.000
LK152,-63.833,149.000,100.000
LK152,-63.000,149.000,110.000
LK152,-60.333,153.000,120.000
LK152,-58.500,156.000,127.000
LK152,-57.500,154.000,139.000
LK152,-55.500,140.000,149.000
LK152,-54.833,146.000,159.000
LK152,-54.500,146.000,169.000
LK152,-54.633,146.000,179.000
LK152,-52.333,147.000,189.000
LK152,-50.833,147.000,199.000
LK152,-51.500,150.000,209.000
LK152,-50.667,150.000,219.000
LK152,-48.250,151.000,229.000
LK152,-47.000,151.000,239.000
LK152,-44.000,151.000,249.000
LK152,-43.500,154.000,259.000
LK152,-41.250,155.000,269.000
LK152,-40.500,156.000,279.000
LK152,-40.667,156.000,289.000
LK152,-40.667,156.000,299.000
LK152,-40.583,156.000,309.000
LK152,-40.833,158.000,319.000
LK154,-81.000,135.000,0.000
LK154,-81.000,135.000,2.000
LK154,-81.000,135.000,10.000
LK154,-80.500,135.000,20.000
LK154,-80.500,135.000,30.000
LK154,-80.250,138.000,40.000
LK154,-80.167,139.000,50.000
LK154,-79.750,139.000,60.000
LK154,-80.000,141.000,70.000
LK154,-80.167,145.000,80.000
LK154,-80.000,146.000,90.000
LK154,-79.833,147.000,100.000
LK154,-79.500,148.000,110.000
LK154,-79.250,148.000,120.000
LK154,-79.167,150.000,130.000
LK154,-78.833,153.000,140.000
LK154,-78.250,156.000,150.000
LK154,-78.333,155.000,160.000
LK154,-77.500,157.000,170.000
LK154,-77.000,156.000,180.000
LK154,-76.833,157.000,190.000
LK154,-76.750,157.000,200.000
LK154,-76.000,161.000,210.000
LK154,-75.000,161.000,220.000
LK154,-75.000,159.000,230.000
LK154,-74.667,163.000,240.000
LK154,-75.000,164.000,250.000
LK154,-74.167,162.000,260.000
LK154,-73.250,164.000,270.000
LK154,-72.667,165.000,280.000
LK154,-71.333,170.000,290.000
LK154,-70.250,172.000,300.000
LK154,-69.167,173.000,310.000
LK154,-69.000,173.000,320.000
LK154,-67.750,175.000,330.000
LK154,-67.333,178.000,340.000
LK154,-66.333,174.000,350.000
LK154,-65.167,176.000,360.000
LK154,-63.500,176.000,370.000
LK154,-63.167,176.000,380.000
LK154,-58.000,172.000,390.000
LK154,-56.000,176.000,400.000
LK154,-54.167,178.000,410.000
LK154,-51.667,180.000,420.000
LK154,-49.500,184.000,430.000
LK154,-41.500,181.000,440.000
LK154,-42.167,180.000,450.000
LK154,-41.467,180.000,460.000
LK154,-40.500,178.000,470.000
LK154,-40.500,184.000,480.000
LK154,-40.500,188.000,490.000
LK154,-40.500,190.000,500.000
LK156,-78.833,144.000,0.000
LK156,-78.833,144.000,1.000
LK156,-78.167,144.000,10.000
LK156,-78.500,144.000,20.000
LK156,-78.000,144.000,30.000
LK156,-77.000,144.000,40.000
LK156,-77.667,143.000,50.000
LK156,-74.333,144.000,60.000
LK156,-73.167,144.000,70.000
LK156,-71.667,144.000,80.000
LK156,-68.333,145.000,90.000
LK156,-67.500,146.000,100.000
LK156,-67.250,146.000,110.000
LK156,-62.500,147.000,120.000
LK156,-58.583,147.000,130.000
LK156,-59.167,150.000,140.000
LK156,-58.333,150.000,150.000
LK156,-55.000,153.000,160.000
LK156,-54.667,152.000,170.000
LK156,-54.667,155.000,180.000
LK156,-52.000,154.000,190.000
LK156,-46.333,153.000,200.000
LK156,-45.000,155.000,210.000
LK156,-42.500,155.000,220.000
LK156,-41.333,158.000,230.000
LK156,-41.417,157.000,240.000
LK156,-41.500,164.000,250.000
LK156,-40.500,166.000,260.000
LK156,-46.833,167.000,271.000
LK157,-80.500,136.000,0.000
LK157,-80.500,136.000,2.000
LK157,-80.000,136.000,10.000
LK157,-80.000,136.000,20.000
LK157,-79.667,136.000,30.000
LK157,-79.667,136.000,40.000
LK157,-80.000,136.000,50.000
LK157,-80.000,136.000,60.000
LK157,-79.167,136.000,70.000
LK157,-78.667,135.000,80.000
LK157,-78.333,135.000,90.000
LK157,-78.000,137.000,100.000
LK157,-77.667,139.000,110.000
LK157,-77.500,142.000,120.000
LK157,-75.667,142.000,130.000
LK157,-76.500,145.000,140.000
LK157,-75.833,148.000,150.000
LK157,-75.500,153.000,160.000
LK157,-75.500,150.000,170.000
LK157,-75.500,161.000,180.000
LK157,-75.000,162.000,190.000
LK157,-73.000,158.000,200.000
LK157,-72.667,160.000,210.000
LK157,-72.333,161.000,220.000
LK157,-71.167,170.000,230.000
LK157,-71.500,170.000,240.000
LK157,-71.000,200.000,250.000
LK157,-70.667,183.000,260.000
LK157,-69.667,171.000,270.000
LK157,-69.167,170.000,280.000
LK157,-67.500,174.000,290.000
LK157,-66.500,177.000,300.000
LK157,-65.000,180.000,310.000
LK157,-62.500,182.000,320.000
LK157,-63.000,181.000,330.000
LK157,-59.833,181.000,340.000
LK157,-58.833,182.000,350.000
LK157,-57.000,182.000,360.000
LK157,-55.833,183.000,370.000
LK157,-50.500,185.000,380.000
LK157,-49.833,188.000,390.000
LK157,-46.833,186.000,400.000
LK157,-45.500,185.000,410.000
LK157,-44.667,185.000,420.000
LK157,-42.833,189.000,430.000
LK157,-41.000,190.000,440.000
LK157,-41.000,189.000,450.000
LK157,-41.000,191.000,460.000
LK157,-41.000,193.000,464.000
LK159,-78.000,130.000,0.000
LK159,-78.000,130.000,2.000
LK159,-78.000,130.000,10.000
LK159,-78.000,130.000,20.000
LK159,-76.000,140.000,30.000
LK159,-76.333,141.000,40.000
LK159,-76.000,143.000,50.000
LK159,-76.667,145.000,60.000
LK159,-74.333,144.000,70.000
LK159,-73.000,145.000,80.000
LK159,-73.000,146.000,90.000
LK159,-72.333,148.000,100.000
LK159,-72.167,152.000,110.000
LK159,-72.000,154.000,120.000
LK159,-71.833,153.000,130.000
LK159,-71.500,153.000,140.000
LK159,-71.000,152.000,150.000
LK159,-71.000,152.000,160.000
LK159,-70.000,155.000,170.000
LK159,-69.500,154.000,180.000
LK159,-69.333,155.000,190.000
LK159,-68.500,155.000,200.000
LK159,-67.500,157.000,210.000
LK159,-65.000,155.000,220.000
LK159,-64.500,159.000,230.000
LK159,-64.500,160.000,240.000
LK159,-64.500,161.000,250.000
LK159,-64.000,164.000,260.000
LK159,-62.833,165.000,270.000
LK159,-62.667,164.000,280.000
LK169,-77.667,131.000,0.000
LK169,-77.667,131.000,3.000
LK169,-78.000,131.000,10.000
LK169,-78.000,131.000,20.000
LK169,-77.750,134.000,30.000
LK169,-77.667,133.000,40.000
LK169,-77.500,134.000,50.000
LK169,-77.250,130.000,60.000
LK169,-77.000,134.000,70.000
LK169,-76.667,135.000,80.000
LK169,-76.500,136.000,90.000
LK169,-75.833,135.000,100.000
LK169,-75.833,138.000,110.000
LK169,-74.833,145.000,120.000
LK169,-73.833,147.000,130.000
LK169,-73.167,146.000,140.000
LK169,-72.833,149.000,150.000
LK169,-77.833,151.000,160.000
LK169,-70.667,154.000,170.000
LK169,-69.833,155.000,180.000
LK169,-68.833,155.000,190.000
LK169,-61.833,155.000,200.000
LK169,-66.833,158.000,210.000
LK169,-66.000,158.000,220.000
LK169,-65.333,161.000,230.000
LK169,-63.833,161.000,240.000
LK169,-63.333,161.000,250.000
LK169,-61.750,163.000,260.000
LK169,-61.000,163.000,270.000
LK169,-60.667,160.000,280.000
LK169,-56.833,161.000,290.000
LK169,-58.000,165.000,300.000
LK169,-57.500,165.000,310.000
LK169,-55.500,165.000,317.000
LK170,-75.500,131.000,0.000
LK170,-75.500,131.000,2.000
LK170,-75.500,131.000,12.000
LK170,-74.583,131.000,22.000
LK170,-74.500,151.000,32.000
LK170,-74.333,150.000,42.000
LK170,-74.333,152.000,52.000
LK170,-74.000,154.000,62.000
LK170,-73.500,160.000,72.000
LK170,-72.500,160.000,78.000
LK170,-71.667,163.000,88.000
LK170,-74.667,165.000,98.000
LK170,-69.500,159.000,108.000
LK170,-69.500,165.000,118.000
LK170,-69.000,156.000,128.000
LK170,-61.333,158.000,138.000
LK170,-66.333,160.000,148.000
LK170,-65.667,163.000,158.000
LK170,-65.333,163.000,168.000
LK170,-64.500,164.000,178.000
LK170,-63.333,163.000,188.000
LK170,-61.250,163.000,198.000
LK170,-60.500,162.000,212.000
LK170,-59.500,162.000,222.000
LK170,-57.333,163.000,232.000
LK170,-56.000,164.000,242.000
LK170,-53.000,165.000,252.000
LK170,-50.750,166.000,262.000
LK170,-48.000,166.000,272.000
LK170,-45.500,167.000,282.000
LK170,-43.333,166.000,292.000
LK174,-81.500,150.000,0.000
LK174,-81.500,150.000,2.000
LK174,-81.333,150.000,10.000
LK174,-81.333,150.000,20.000
LK174,-81.667,150.000,30.000
LK174,-81.500,153.000,40.000
LK174,-81.000,160.000,50.000
LK174,-80.500,160.000,60.000
LK174,-80.500,160.000,70.000
LK174,-80.417,166.000,80.000
LK174,-79.500,167.000,90.000
LK174,-79.500,167.000,100.000
LK174,-78.500,174.000,110.000
LK174,-78.833,172.000,120.000
LK174,-78.333,172.000,130.000
LK174,-78.500,172.000,140.000
LK174,-77.500,172.000,150.000
LK174,-77.833,175.000,160.000
LK174,-77.000,176.000,170.000
LK174,-77.000,175.000,180.000
LK174,-77.000,178.000,190.000
LK174,-75.000,180.000,200.000
LK174,-75.000,183.000,210.000
LK174,-73.833,183.000,220.000
LK174,-73.333,185.000,230.000
LK174,-72.500,185.000,240.000
LK174,-72.000,183.000,250.000
LK174,-71.500,185.000,260.000
LK174,-70.833,185.000,270.000
LK174,-69.833,187.000,280.000
LK174,-69.833,187.000,290.000
LK174,-69.000,188.000,300.000
LK174,-68.000,186.000,310.000
LK174,-67.467,189.000,320.000
LK174,-66.667,189.000,330.000
LK174,-65.833,190.000,340.000
LK174,-65.333,189.000,350.000
LK174,-64.500,187.000,360.000
LK174,-63.500,190.000,370.000
LK174,-62.000,190.000,380.000
LK174,-60.500,192.000,390.000
LK174,-59.167,197.000,400.000
LK174,-56.833,196.000,410.000
LK174,-53.833,198.000,420.000
LK174,-51.000,198.000,430.000
LK174,-50.167,196.000,440.000
LK174,-48.000,193.000,450.000
LK174,-43.333,200.000,460.000
LK174,-43.833,199.000,470.000
LK174,-42.500,193.000,480.000
LK174,-40.000,199.000,490.000
LK174,-40.000,202.000,500.000
LK177,-81.500,137.000,0.000
LK177,-81.500,137.000,2.000
LK177,-80.833,137.000,10.000
LK177,-80.167,137.000,20.000
LK177,-79.500,140.000,30.000
LK177,-79.167,142.000,40.000
LK177,-78.833,147.000,50.000
LK177,-78.500,148.000,60.000
LK177,-78.500,151.000,70.000
LK177,-77.000,153.000,80.000
LK177,-75.833,149.000,90.000
LK177,-75.000,150.000,100.000
LK177,-73.833,151.000,110.000
LK177,-73.167,153.000,120.000
LK177,-72.000,153.000,130.000
LK177,-70.500,154.000,140.000
LK177,-69.667,154.000,150.000
LK177,-68.667,155.000,160.000
LK177,-67.667,156.000,170.000
LK177,-67.333,154.000,180.000
LK177,-65.333,155.000,190.000
LK177,-64.333,157.000,200.000
LK177,-62.000,158.000,210.000
LK177,-59.667,158.000,220.000
LK177,-57.500,159.000,230.000
LK177,-54.667,160.000,240.000
LK177,-52.833,161.000,250.000
LK177,-50.667,162.000,260.000
LK177,-48.000,163.000,270.000
LK177,-43.500,164.000,280.000
LK177,-40.000,165.000,290.000
LK177,-40.000,165.000,300.000
LK177,-40.000,154.000,310.000
LK177,-40.000,123.000,315.000
